throw,white,red
105.0,4.0,6.0
106.0,4.0,2.0
106.0,4.0,2.0
107.0,3.0,5.0
107.0,,6.0
108.0,2.0,5.0
108.0,2.0,6.0
109.0,2.0,5.0
109.0,2.0,6.0
110.0,6.0,6.0
110.0,2.0,6.0
110.0,5.0,
111.0,2.0,2.0
111.0,2.0,2.0
111.0,3.0,2.0
111.0,2.0,5.0
111.0,3.0,6.0
111.0,2.0,
111.0,2.0,
112.0,2.0,5.0
112.0,3.0,6.0
113.0,2.0,5.0
113.0,5.0,6.0
114.0,2.0,5.0
114.0,5.0,6.0
115.0,2.0,5.0
115.0,5.0,6.0
116.0,2.0,5.0
116.0,5.0,6.0
117.0,2.0,5.0
117.0,3.0,6.0
118.0,2.0,5.0
118.0,3.0,6.0
119.0,4.0,6.0
119.0,1.0,3.0
120.0,4.0,5.0
120.0,1.0,3.0
121.0,4.0,5.0
121.0,1.0,3.0
122.0,4.0,5.0
122.0,1.0,3.0
123.0,2.0,3.0
123.0,4.0,6.0
123.0,2.0,3.0
123.0,,3.0
123.0,,6.0
124.0,4.0,3.0
124.0,2.0,6.0
125.0,1.0,6.0
125.0,1.0,6.0
126.0,4.0,6.0
126.0,1.0,6.0
126.0,2.0,
126.0,2.0,
126.0,5.0,
126.0,5.0,
126.0,3.0,
127.0,1.0,
127.0,4.0,
127.0,1.0,
127.0,4.0,
127.0,4.0,
128.0,2.0,
128.0,1.0,
128.0,2.0,
128.0,1.0,
128.0,2.0,
128.0,2.0,
128.0,4.0,
129.0,2.0,
129.0,1.0,
129.0,2.0,
129.0,1.0,
129.0,4.0,
129.0,2.0,
129.0,4.0,
130.0,2.0,2.0
130.0,2.0,6.0
130.0,,6.0
131.0,2.0,2.0
131.0,6.0,6.0
131.0,,6.0
132.0,,2.0
133.0,2.0,2.0
133.0,3.0,2.0
133.0,,2.0
133.0,,6.0
133.0,,2.0
134.0,,2.0
135.0,3.0,2.0
135.0,6.0,2.0
136.0,,2.0
137.0,3.0,3.0
137.0,3.0,2.0
138.0,,2.0
